,sequence,gdaxi,ftse,gspc
,,,,
Date,,,,
2011-04-04,9718.8896484375,7175.330078125,6017.0,1332.8699951171875
2011-04-05,9615.5498046875,7175.31005859375,6007.10009765625,1332.6300048828125
2011-04-06,9584.3701171875,7215.10986328125,6041.10009765625,1335.5400390625
2011-04-07,9590.9296875,7178.77978515625,6007.39990234375,1333.510009765625
2011-04-08,9768.080078125,7217.02001953125,6055.7998046875,1328.1700439453125
2011-04-11,9719.7001953125,7204.85986328125,6053.39990234375,1324.4599609375
2011-04-12,9555.259765625,7102.91015625,5964.5,1314.1600341796875
2011-04-13,9641.1796875,7177.97021484375,6010.39990234375,1314.4100341796875
2011-04-14,9653.919921875,7146.56005859375,5963.7998046875,1314.52001953125
2011-04-15,9591.51953125,7178.2900390625,5996.0,1319.6800537109375
2011-04-18,9556.650390625,7026.85009765625,5870.10009765625,1305.1400146484375
2011-04-19,9441.0302734375,7039.31005859375,5896.89990234375,1312.6199951171875
2011-04-20,9606.8203125,7249.18994140625,6022.2998046875,1330.3599853515625
2011-04-21,9685.76953125,7295.490234375,6018.2998046875,1337.3800048828125
2011-04-22,9682.2099609375,7295.490234375,6018.2998046875,1337.3800048828125
2011-04-25,9671.9599609375,7295.490234375,6018.2998046875,1335.25
2011-04-26,9558.6904296875,7356.509765625,6069.39990234375,1347.239990234375
2011-04-27,9691.83984375,7404.9501953125,6068.2001953125,1355.6600341796875
2011-04-28,9849.740234375,7475.22021484375,6069.89990234375,1360.47998046875
2011-04-29,9849.740234375,7514.4599609375,6069.89990234375,1363.6099853515625
2011-05-02,10004.2001953125,7527.64013671875,6069.89990234375,1361.219970703125
2011-05-03,10004.2001953125,7500.7001953125,6082.89990234375,1356.6199951171875
2011-05-04,10004.2001953125,7373.93017578125,5984.10009765625,1347.3199462890625
2011-05-05,10004.2001953125,7376.9599609375,5920.0,1335.0999755859375
2011-05-06,9859.2001953125,7492.25,5976.7998046875,1340.199951171875
2011-05-09,9794.3798828125,7410.52001953125,5942.7001953125,1346.2900390625
2011-05-10,9818.759765625,7501.52001953125,6018.89990234375,1357.1600341796875
2011-05-11,9864.259765625,7495.0498046875,5976.0,1342.0799560546875
2011-05-12,9716.650390625,7443.9501953125,5945.0,1348.6500244140625
2011-05-13,9648.76953125,7403.31005859375,5925.89990234375,1337.77001953125
2011-05-16,9558.2998046875,7387.5400390625,5923.7001953125,1329.469970703125
2011-05-17,9567.01953125,7256.64990234375,5861.0,1328.97998046875
2011-05-18,9662.080078125,7303.52978515625,5923.5,1340.6800537109375
2011-05-19,9620.8203125,7358.22998046875,5956.0,1343.5999755859375
2011-05-20,9607.080078125,7266.81982421875,5948.5,1333.27001953125
2011-05-23,9460.6298828125,7121.52001953125,5835.89990234375,1317.3699951171875
2011-05-24,9477.169921875,7150.66015625,5858.39990234375,1316.280029296875
2011-05-25,9422.8798828125,7170.93994140625,5870.10009765625,1320.469970703125
2011-05-26,9562.0498046875,7114.08984375,5881.0,1325.68994140625
2011-05-27,9521.9404296875,7163.47021484375,5938.89990234375,1331.0999755859375
2011-05-30,9504.9697265625,7160.2998046875,5938.89990234375,1331.0999755859375
2011-05-31,9693.73046875,7293.68994140625,5990.0,1345.199951171875
2011-06-01,9719.6103515625,7217.43017578125,5928.60009765625,1314.550048828125
2011-06-02,9555.0400390625,7074.1201171875,5847.89990234375,1312.93994140625
2011-06-03,9492.2099609375,7109.02978515625,5855.0,1300.1600341796875
